Tên sản phẩm,Ngành hàng,Loại edge case,Mô tả,
Nước khoáng Faith chanh muối có ga 355ml (Chai),Nước ngọt,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Nước lau sàn Sutiki hương thanh trúc chiết xuất bươi tươi 3.6kg (Cái),Vệ sinh nhà cửa,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Nước mắm nam ngư nhãn vàng 650ml (Chai),"Nước chấm, mắm",Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Nước trà xanh C2 chanh tuyết Bạc Hà 455ml (Chai),Nước ngọt,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Nước trà xanh C2 hương chanh 355ml (Chai),Nước ngọt,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Nước trà xanh C2 hương chanh 455ml (Chai),Nước ngọt,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Nước trà xanh C2 hương táo 355ml (Chai),Nước ngọt,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Nước tương Chinsu nấm Shiitake MB 330ml (Chai),Gia vị,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Nước tương Maggi đậm đặc 300ml (Chai),"Nước chấm, mắm",Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
OMO BG Đỏ 1.15kg (Cái),Giặt giũ và chăm sóc quần áo,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
OMO NG Cho Quần Áo Bé Yêu 3.6kg (Túi),Giặt giũ và chăm sóc quần áo,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
OMO NG Cửa Trên sạch sâu vượt trội 3.1kg (Cái),Giặt giũ và chăm sóc quần áo,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Omo BG đỏ hương thơm mát giặt tay 5.3kg (Gói),Giặt giũ và chăm sóc quần áo,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Omo NG giữ màu cửa trên túi 3.6kg (Túi),Giặt giũ và chăm sóc quần áo,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Omo NG matic cửa trên sạch thơm vượt trội túi 3.7kg (Cái),Giặt giũ và chăm sóc quần áo,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
